mode,model,subset,R2_mean,MAE_mean,RMSE_mean,nMAE_pct_mean,nRMSE_pct_mean,R2_sd,MAE_sd,RMSE_sd,nMAE_pct_sd,nRMSE_pct_sd,n_seeds,skill_vs_SmartPersistence
KFOLD,Mean,ALL,0.8559952032654202,68.53326898522906,141.11253702832033,4.117977944542076,8.479068980442827,0.0016840375770669027,0.5571748323352852,0.8238861994345285,0.03347912196199411,0.04950508341890493,5,0.3043603285012374
KFOLD,Mean,daylight,0.7599555671306777,142.4815587240249,208.92303265399246,8.56132977482761,12.553617437414427,0.0028050232768120483,0.9024350667965656,1.2187236033804831,0.05422487145988314,0.07322979034161241,5,0.30536325022289823
KFOLD,NNLSStack,ALL,0.8574671547935575,68.34668998292338,140.38395143287556,4.106766919184814,8.435290251408329,0.0032881264115089204,1.4212276381645217,1.6173718943062192,0.08539770763592984,0.09718348310965146,5,0.30795202244245123
KFOLD,NNLSStack,daylight,0.7628553344216092,141.41245503169688,207.64932357389335,8.497090238459016,12.477083719159406,0.005414431952285083,1.6547008294042553,2.3670670839748245,0.0994264774057516,0.1422306303112539,5,0.3095981357897133
KFOLD,Persistence,ALL,0.5226928776638452,117.05769699736614,256.910585738245,7.033678994328097,15.437059131346833,5.4332899861323335e-05,0.018806519099886135,0.014622101663606583,0.001130032639820667,0.0008786023641533939,5,-0.26648701264325014
KFOLD,Persistence,daylight,0.20207332198879646,255.16199459829,380.91485140468706,15.331991040257986,22.888138564805697,9.090233143573986e-05,0.04074206454556525,0.02169715308456424,0.002448079971932053,0.0013037229827875735,5,-0.26648292895399495
KFOLD,Ridge,ALL,0.7968600637134918,88.786251547559,167.6020460136347,5.334924644120136,10.070751609601874,0.0011461902850916506,0.3267649374779927,0.47278723025790453,0.0196344173495362,0.028408500214439997,5,0.1737755220994548
KFOLD,Ridge,daylight,0.6647389882128321,177.4987720026827,246.90883268099424,10.665418987205879,14.836080962548376,0.0018430999134377403,0.4765840546314015,0.678756019870994,0.02863664107596486,0.04078460521351152,5,0.1790663439735085
KFOLD,RidgeStack,ALL,0.853196947676282,74.45900308564879,142.47086822727653,4.474039207809828,8.560687411921567,0.003464881727457949,4.200228146542835,1.6924866030256396,0.252380298293317,0.10169692188759717,5,0.2976641901642252
KFOLD,RidgeStack,daylight,0.759060026233547,143.34389207076393,209.3034790902991,8.61314504287618,12.576477430188564,0.005710204706947334,2.5861860655195525,2.4803923440916096,0.15539689461751657,0.14904003731358176,5,0.3040983247016513
KFOLD,SmartPersistence,ALL,0.7024248563269019,90.0703610410517,202.85291769558222,5.4120832949605004,12.188880720638874,0.0004729298199487879,0.05541439983511087,0.16119841682351133,0.003329700738194905,0.009685974928722104,5,0.0
KFOLD,SmartPersistence,daylight,0.5025327168421472,196.17596465839569,300.7658790310657,11.787680752346052,18.0722045607905,0.000791569793887362,0.12177175657221992,0.23929453608743878,0.00731693402718983,0.014378558566496231,5,0.0
