mode,fold,model,subset,n,R2,MAE,RMSE,nMAE_pct,nRMSE_pct
TEMPORAL,T3,Mean,ALL,1525,0.522136014049364,86.54696354005158,148.79048181061674,5.200371911368097,8.940415823240052
TEMPORAL,T3,Mean,daylight,445,0.31781746984941617,198.10883188183539,263.0382932744043,11.903821492656695,15.80525642965383
TEMPORAL,T3,InvRMSE,ALL,1525,0.5340360584599497,84.68376684505033,146.92616892074147,5.088417483832874,8.828394326587288
TEMPORAL,T3,InvRMSE,daylight,445,0.3313421925302993,195.96254917626914,260.4177853105605,11.77485719582476,15.647797225410539
TEMPORAL,T3,RidgeStack,ALL,1525,0.6283732841714196,50.10298316564401,131.21287854559964,3.010552140397004,7.884225397260926
TEMPORAL,T3,RidgeStack,daylight,445,0.42017996959499215,168.04483039381515,242.50197971061002,10.097357320065852,14.571285139941503
TEMPORAL,T3,NNLSStack,ALL,1525,0.6193380863380995,57.52340375199956,132.79836030573628,3.4564250538928434,7.979492688846325
TEMPORAL,T3,NNLSStack,daylight,445,0.42002173621525696,179.11442815581216,242.5350669516983,10.762499376089487,14.573273262368241
TEMPORAL,T3,BestSingleByVal,ALL,1525,0.5836132529572934,65.01063930892506,138.89015050021504,3.906312697449664,8.345531811670716
TEMPORAL,T3,BestSingleByVal,daylight,445,0.3675991957189233,198.75515027640452,253.25900016888113,11.942657009091219,15.217645274983296
TEMPORAL,T3,Persistence,ALL,1525,0.1146878916463201,74.82006129867518,202.52153082539678,4.495734214920301,12.168968583909653
TEMPORAL,T3,Persistence,daylight,445,-0.3852516120836018,254.024097087906,374.8288524614064,15.263617870259038,22.522447422532334
TEMPORAL,T3,Climatology,ALL,1525,-0.9458267029776937,282.142018582205,300.2445127101742,16.953147383069016,18.040877074997855
TEMPORAL,T3,Climatology,daylight,445,-0.0006239468742497145,257.48381635825393,318.56945115671937,15.471503001970335,19.141972841701005
TEMPORAL,T3,SmartPersistence,ALL,1525,0.5176163211197407,51.34064535477426,149.49246466377352,3.084919898904635,8.982596065763861
TEMPORAL,T3,SmartPersistence,daylight,445,0.24541435720058602,173.8991800669185,276.6450794963818,10.44912928703087,16.622851247293116
TEMPORAL,T4,Ridge,ALL,1520,0.6509355808786188,91.30286635730396,201.96339231013496,5.4861411909869044,12.135431556858702
TEMPORAL,T4,Ridge,daylight,597,0.40863862795735995,227.5958991040273,321.7118096236371,13.675619252608682,19.33078862492888
TEMPORAL,T4,GBM,ALL,1520,0.5478086722610873,94.51070663900947,229.86930357040424,5.678891598566675,13.812221950687793
TEMPORAL,T4,GBM,daylight,597,0.23270039041885027,235.1799626270524,366.4569948103957,14.131325025589605,22.019405240652198
TEMPORAL,T4,GBM_kt,ALL,1520,0.5563034646571361,94.62466454548677,227.69992327180216,5.685739019570054,13.681869782241066
TEMPORAL,T4,GBM_kt,daylight,597,0.24790074153984965,236.23930166358923,362.80904643612257,14.194977830319983,21.800209933460263
TEMPORAL,T4,GBM_per_hour,ALL,1520,0.4900081647409551,104.45943209407082,244.11894092958036,6.276683482813096,14.66844394668593
TEMPORAL,T4,GBM_per_hour,daylight,597,0.1398691007656152,252.41124811554738,387.99202763598305,15.166706157241503,23.31338685752023
TEMPORAL,T4,CNN,ALL,1520,0.5132265070493606,110.12869716619326,238.49722265435534,6.617334218936522,14.330650168414602
