mode,model,subset,n,R2,MAE,RMSE,nMAE_pct,nRMSE_pct,seed
KFOLD,GBM,ALL,8516,0.8401867650120307,67.68095347759683,148.65838615215176,4.066764621229319,8.932478553995741,2
KFOLD,GBM,daylight,3869,0.7332187781408165,144.47164711878926,220.2541205526114,8.680908779866682,13.234471725340446,2
KFOLD,GBM_kt,ALL,8516,0.834963273051208,68.72789681695579,151.06830047423978,4.129672602192472,9.077283758439345,2
KFOLD,GBM_kt,daylight,3869,0.7247864569720558,148.14775852814034,223.70789641882894,8.901796327324107,13.441999734044376,2
KFOLD,GBM_per_hour,ALL,8516,0.8329994368145144,70.45458828064191,151.96445268929654,4.2334248012305915,9.131131110407214,2
KFOLD,GBM_per_hour,daylight,3869,0.7210999738963347,152.25722711519063,225.20119506097552,9.148723130259903,13.531727992509616,2
KFOLD,CNN,ALL,8516,0.8224368419000736,85.00248382699526,156.69656373390364,5.107568321398832,9.41547080704442,2
KFOLD,CNN,daylight,3869,0.7088013974814449,161.99250799504816,230.11294818212912,9.73368970986106,13.82686189348121,2
KFOLD,Mean,ALL,8516,0.8553778404717621,69.1097443807138,141.41662343661463,4.152616784908628,8.497340706585947,2
KFOLD,Mean,daylight,3869,0.7590018830528935,143.12330721866599,209.340490768241,8.599890698390803,12.578701361364066,2
KFOLD,InvRMSE,ALL,8516,0.855968119387642,68.87934537646423,141.12773063385615,4.138772734683202,8.47998192292202,2
KFOLD,InvRMSE,daylight,3869,0.759989291733537,142.62160884573618,208.91119949219444,8.569745006157985,12.552906414869902,2
KFOLD,RidgeStack,ALL,8516,0.8508768832317943,71.18497490591339,143.60035993420985,4.277311749254401,8.628555500027755,2
KFOLD,RidgeStack,daylight,3869,0.7526534397525764,144.46666492725623,212.0798223620465,8.680609413512906,12.743300354715888,2
KFOLD,NNLSStack,ALL,8516,0.8573547190677197,70.105626444427,140.44676708956607,4.212456632539709,8.43906467356349,2
KFOLD,NNLSStack,daylight,3869,0.7630117238263048,141.9483544260282,207.59163257152537,8.529290977151716,12.473617223560005,2
KFOLD,BestSingleByVal,ALL,8516,0.8340663381071606,77.98342837699799,151.47825418076425,4.685812348532043,9.101916762916556,2
KFOLD,BestSingleByVal,daylight,3869,0.7266767074138978,153.19058650111637,222.93832574427327,9.204806160042153,13.395758322952933,2
KFOLD,Persistence,ALL,8516,0.5221093109505239,117.21702089743961,257.06759050499755,7.043252334637931,15.446493121235951,2
KFOLD,Persistence,daylight,3869,0.20111317287251818,255.49057983976982,381.1439613598146,15.351734834729655,22.901905159571427,2
KFOLD,Climatology,ALL,8516,0.6873577622227083,104.26197656909198,207.92507541857375,6.26481891675736,12.493652898353316,2
KFOLD,Climatology,daylight,3869,0.47763978170784205,226.60517262536737,308.1991671030537,13.616089190076941,18.51885064654006,2
KFOLD,SmartPersistence,ALL,8516,0.7036135441720341,89.92831396102095,202.44740726722895,5.403548071829975,12.164514700675628,2
KFOLD,SmartPersistence,daylight,3869,0.5045228316773527,195.8670438928452,300.16374611323073,11.769118542809219,18.03602402961138,2
KFOLD,Ridge,ALL,8516,0.7972212012357447,88.47400600379567,167.4535332012232,5.316162657693134,10.061827878178466,3
KFOLD,Ridge,daylight,3869,0.6652800443434825,176.96439148569897,246.71026287069145,10.633309513726564,14.824149442114775,3
KFOLD,GBM,ALL,8516,0.8370773168324225,68.22430890263145,150.09762461422173,4.099413372550696,9.018958483108976,3
KFOLD,GBM,daylight,3869,0.7278941218096164,146.13099536728336,222.44127475985135,8.780614508059598,13.365891879669691,3
KFOLD,GBM_kt,ALL,8516,0.8356122131116946,68.69190841084261,150.77100049195678,4.127510156641169,9.059419810198118,3
KFOLD,GBM_kt,daylight,3869,0.7258495607567649,148.07179962065973,223.27540530185374,8.897232162936092,13.416012517802029,3
KFOLD,GBM_per_hour,ALL,8516,0.8322846324072435,69.52491251076613,152.28932845955163,4.177563109929265,9.150652012830749,3
KFOLD,GBM_per_hour,daylight,3869,0.7198639183481108,150.29486119922703,225.699677357997,9.03080989365651,13.56168043947842,3
KFOLD,CNN,ALL,8516,0.8392912442071637,80.12314251792932,149.0743113505824,4.814381958160311,8.957470369198456,3
KFOLD,CNN,daylight,3869,0.7355287453409145,154.74757109010474,219.2984949615294,9.298361134033367,13.177050779782402,3
KFOLD,Mean,ALL,8516,0.8577013889339153,67.83830011374428,140.2759998564368,4.076219153121599,8.42880373445918,3
KFOLD,Mean,daylight,3869,0.7627509996839758,141.23741501373783,207.70579280163759,8.486572559322434,12.480476801640942,3
KFOLD,InvRMSE,ALL,8516,0.858673470215016,67.53129308028309,139.79604664694537,4.057771934546852,8.399964650020877,3
